PuzzleId,FEN,Moves,Rating,Themes
yokJ4,2krr3/pp3ppp/2p5/5P2/2n1N3/7P/PPP2K2/R3R3 b - - 4 24,c4d2 e4d6 d8d6 e1e8,769,advantage deflection discoveredAttack endgame master queensideAttack short
10UZi,r2r2k1/p1R2ppp/1p1qp3/8/8/P4Q2/1P3PPP/2R3K1 b - - 3 20,h7h6 f3f7 g8h8 f7g7,770,endgame mate mateIn2 short
81xKP,r2q1rk1/ppp2ppp/1b1p1n2/3Pn3/1PP1N1b1/P3PNP1/1B3PBP/R2Q1RK1 b - - 0 13,e5f3 g2f3 g4f3 d1f3,770,advantage middlegame short
8pPuR,7r/2qb4/4p1k1/1p3p2/p2Pp1p1/P1N1P2P/1P2QRP1/6K1 w - - 0 39,h3g4 c7h2 g1f1 h2h1,770,endgame mate mateIn2 short
9Bsuq,r2q1b1r/ppp1kBp1/2n2n1p/3p1P2/8/4Q3/PPP2PPP/RNB1K2R b KQ - 1 11,e7f7 e3e6,770,mate mateIn1 oneMove opening
mawqW,5r2/pp2R1kp/2q2pp1/5n2/1Q1p4/1BP4P/P4PP1/6K1 b - - 1 25,f5e7 b4e7 g7h6 e7f8,770,crushing deflection endgame short
u00eX,5B2/6rk/ppq1R1p1/4QpPp/2p3rP/2P1K3/PP3P2/8 b - - 11 43,g4e4 e5e4 c6e4 e6e4,770,crushing endgame short
7KFvz,8/pp3k2/3bR1p1/7p/4R2P/8/PP3PPK/3r4 w - - 3 30,h2h3 d1h1,771,endgame mate mateIn1 oneMove pillsburysMate
d89GS,4N3/8/1p6/p2pPb2/2kP2pb/P1B5/1P6/5K2 b - - 1 42,b6b5 e8d6 c4d3 d6f5,771,crushing endgame fork short
rDFex,8/4k2R/1rp1n1n1/p1Np1p2/P2P1Pp1/1PK1P1P1/8/8 b - - 1 45,e7d6 h7d7,771,endgame epauletteMate hookMate mate mateIn1 oneMove
xC2PV,2R5/1p2k1pp/p3nb2/3p1K2/N2p2P1/3Pp2P/1P2B3/8 w - - 8 38,c8b8 g7g6,771,endgame mate mateIn1 oneMove
5yQf9,r1bk2qr/pp2R3/4p2p/3pP1P1/B1nP4/P1P5/7P/R1B2QK1 b - - 0 25,d8e7 f1f6,772,mate mateIn1 middlegame oneMove
DBPK8,6k1/4Rppp/p7/1ppB2n1/8/2PN2P1/P2r1P1P/6K1 b - - 0 29,d2d3 e7e8,772,endgame mate mateIn1 oneMove
OBt6z,r3k2r/ppp2ppp/4b3/2bpP3/6nq/1BP2Q2/PP1P2PP/RNB2R1K w kq - 1 12,g2g3 h4h2,772,kingsideAttack mate mateIn1 middlegame oneMove
Q44cn,2r3k1/5p2/4bP2/3q4/6pp/P2B4/1PP1Q2P/1K3R2 w - - 4 39,e2d2 d5a2 b1c1 a2a1,772,endgame mate mateIn2 short
TljMz,3b1k2/8/1P1p2pp/N3pp2/8/3B1b1P/6P1/6K1 w - - 0 37,g2f3 d8b6 g1f1 b6a5,772,advantage endgame fork short
05VUp,5R2/p1p3rk/8/3P2qr/8/1P1Q4/P4KP1/8 b - - 6 42,h7h6 f8h8 g7h7 h8h7,773,endgame mate mateIn2 short
1dwHq,8/5r2/2k5/1R1p2P1/4nP2/P3P3/4K3/8 w - - 1 42,b5b1 e4c3 e2d3 c3b1,773,advantage endgame fork short
4BCsS,5rk1/6np/3Q2p1/p2P2q1/2P1b3/8/PP5P/4RR1K w - - 1 27,e1e4 f8f1,773,endgame hangingPiece mate mateIn1 oneMove
9dcCP,r7/8/5b2/pp1R1Pk1/p5p1/6N1/KPP5/8 b - - 7 38,b5b4 g3e4 g5f4 e4f6,773,advantage deflection endgame master short
